iso3,year,month,country_role,funding_usd,flow_count,has_cerf,has_echo,sector_mix
SLV,2020,11,tier1,480000,1,0,0,Protection - Child Protection
SLV,2020,12,tier1,19908,1,0,0,Health
SLV,2021,1,tier1,365048,2,0,0,Food Security | Unearmarked
SLV,2021,2,tier1,712500,2,0,0,Food Security | Unearmarked
SLV,2021,3,tier1,154142,2,0,1,Food Security | Protection
SLV,2021,4,tier1,1191422,1,0,0,Food Security
SLV,2021,5,tier1,7000000,1,0,0,Food Security
SLV,2021,6,tier1,1250060,4,1,0,Emergency Shelter and NFI | Food Security | Protection - Child Protection | Unearmarked
SLV,2021,10,tier1,157233,1,0,0,Food Security
SLV,2021,11,tier1,970734,4,0,0,Food Security | Unearmarked
SLV,2021,12,tier1,337839,2,0,1,Other | Unearmarked
SLV,2022,1,tier1,311886,2,0,0,Protection - Child Protection | Unearmarked
SLV,2022,2,tier1,11997902,3,0,0,Health | Other | Protection
SLV,2022,3,tier1,391543,1,0,0,Food Security
SLV,2022,4,tier1,15484205,8,0,0,Agriculture | Food Security | Protection | Protection - Child Protection | Protection - Gender-Based Violence
SLV,2022,5,tier1,380000,1,0,0,Other
SLV,2022,6,tier1,9326473,26,0,1,Coordination and support services | Food Security | Multi-sector | Other | Protection | Protection - Child Protection | Protection - Gender-Based Violence | Unearmarked
SLV,2022,7,tier1,7032500,6,0,0,Protection | Protection - Child Protection | Protection - Gender-Based Violence
SLV,2022,8,tier1,448057,2,0,0,Food Security | Unearmarked
SLV,2022,9,tier1,1500000,3,0,0,Protection | Protection - Child Protection | Protection - Gender-Based Violence
SLV,2022,11,tier1,754412,2,0,0,Unearmarked | Water Sanitation Hygiene
SLV,2022,12,tier1,232678,3,0,0,Protection | Protection - Child Protection | Protection - Gender-Based Violence
SLV,2023,1,tier1,275000,1,0,0,Food Security
SLV,2023,2,tier1,1399999,3,0,0,Protection | Protection - Child Protection | Protection - Gender-Based Violence
SLV,2023,4,tier1,557414,1,0,0,Food Security
SLV,2023,5,tier1,8456472,10,0,1,Education | Multi-sector | Protection | Protection - Child Protection | Protection - Gender-Based Violence | Unearmarked
SLV,2023,6,tier1,5494302,18,0,1,Camp Coordination / Management | Coordination and support services | Education | Food Security | Health | Multi-sector | Other | Protection | Protection - Child Protection | Protection - Gender-Based Violence | Water Sanitation Hygiene
SLV,2023,7,tier1,930665,1,0,0,Health
SLV,2023,9,tier1,5900001,7,0,0,Education | Health | Nutrition | Protection - Child Protection | Protection - Gender-Based Violence | Unearmarked | Water Sanitation Hygiene
SLV,2023,10,tier1,425080,1,0,0,Food Security
SLV,2023,11,tier1,1302802,2,0,0,Protection - Gender-Based Violence
SLV,2023,12,tier1,353483,1,0,0,Protection
SLV,2024,2,tier1,957396,1,0,0,Unearmarked
SLV,2024,3,tier1,3705265,7,0,0,Agriculture | Emergency Shelter and NFI | Food Security | Protection | Protection - Child Protection | Unearmarked
SLV,2024,4,tier1,1459227,1,0,1,Protection - Child Protection
SLV,2024,6,tier1,2068627,11,0,1,Coordination and support services | Emergency Shelter and NFI | Food Security | Multi-sector | Multipurpose Cash | Protection | Unearmarked
SLV,2024,7,tier1,3600000,1,0,0,Emergency Shelter and NFI
SLV,2024,8,tier1,70000,1,0,0,Multi-sector
SLV,2024,9,tier1,1276347,1,0,0,Emergency Shelter and NFI
