DisNo.,ISO,Country,Disaster Type,Disaster Subtype,Associated Types,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",AID Contribution ('000 US$),Event Name,Location,ISO3,country_role,disaster_category,event_year,event_month,year_month,log_affected,log_deaths,norm_affected,norm_deaths,severity_score,severity_data_flag
2024-0363-GTM,GTM,Guatemala,Flood,Flood (General),,2024,6,7.0,2024,7,,18.0,13.0,606102.0,,606115.0,,,,,"Suchitepéquez, San Marcos, Jutiapa, Sacatepequez, Guatemala Department",GTM,tier1,flood,2024,6,2024-06,13.31482666587506,2.9444389791664403,0.8683048665568464,0.37489706783114357,0.6216,ok
2024-0395-NIC,NIC,Nicaragua,Storm,Severe weather,,2024,6,19.0,2024,6,21.0,,,,,,,,,,,NIC,tier1,storm,2024,6,2024-06,0.0,0.0,0.0,0.0,0.0,no_impact_data
2024-0395-SLV,SLV,El Salvador,Storm,Severe weather,"Flood|Slide (land, mud, snow, rock)",2024,6,15.0,2024,6,24.0,19.0,,8570.0,,8570.0,,,,,"Ahuachapán, Chalatenango, Cuscatlán, La Paz, La Unión, San Vicente, Santa Ana, Sonsonate",SLV,tier1,storm,2024,6,2024-06,9.056139690898883,2.995732273553991,0.5905814895795581,0.3814279233867701,0.486,ok
2024-0402-GTM,GTM,Guatemala,Storm,Tropical cyclone,"Flood|Slide (land, mud, snow, rock)",2024,6,21.0,2024,6,22.0,10.0,,14400.0,,14400.0,,,,Tropical storm 'Alberto',Jalpatagua and Chacaya municipalities,GTM,tier1,storm,2024,6,2024-06,9.575052927597383,2.3978952727983707,0.62442157627786,0.3053090633220603,0.4649,ok
2024-0402-HND,HND,Honduras,Storm,Tropical cyclone,,2024,6,17.0,2024,6,22.0,1.0,,1500.0,,1500.0,,,,Tropical storm 'Alberto',"Ocotepeque, Lempira, Intibucá, La Paz, Valle and Choluteca departments",HND,tier1,storm,2024,6,2024-06,7.313886831633462,0.6931471805599453,0.47696328977602936,0.08825411136246838,0.2826,ok
2024-0422-BRB,BRB,Barbados,Storm,Tropical cyclone,Surge,2024,7,1.0,2024,7,2.0,,,2500.0,,2500.0,,,,Hurricane 'Beryl',,BRB,tier1,storm,2024,7,2024-07,7.824445930877619,0.0,0.5102585749241854,0.0,0.2551,ok
2024-0422-JAM,JAM,Jamaica,Storm,Tropical cyclone,,2024,7,3.0,2024,7,4.0,3.0,60.0,160000.0,,160060.0,1000000.0,1000000.0,,Hurricane 'Beryl',"Clarendon, St.Elizabeth, St. Thomas, Manchester, Westmoreland, Hanover",JAM,tier1,storm,2024,7,2024-07,11.983310271558649,1.3862943611198906,0.7814721804019207,0.17650822272493677,0.479,ok
2024-0422-VEN,VEN,Venezuela,Storm,Tropical cyclone,Flood,2024,7,1.0,2024,7,4.0,9.0,,29000.0,,29000.0,,,,Hurricane 'Beryl',"Cumanacoa, Montes municipality (Sucre)",VEN,pressure_input,storm,2024,7,2024-07,10.275085591132715,2.302585092994046,0.670073073195528,0.29317381202430176,0.4816,ok
2024-0693-CUB,CUB,Cuba,Storm,Tropical cyclone,Flood|Surge,2024,9,27.0,2024,9,28.0,,,,,,,,,Tropical cyclone 'Helene',Artemisa and coastal communities,CUB,tier1,storm,2024,9,2024-09,0.0,0.0,0.0,0.0,0.0,no_impact_data
2024-0782-CUB,CUB,Cuba,Storm,Tropical cyclone,"Flood|Slide (land, mud, snow, rock)|Surge",2024,10,20.0,2024,10,21.0,10.0,,320000.0,,320000.0,50000.0,50000.0,,Tropical cyclone 'Oscar',"Imías and San Antonio del Sur, Maisí and Baracoa muncipalities (Guantanamo Province); Granma, Holguin, Las Tunas, Santiago de Cuba",CUB,tier1,storm,2024,10,2024-10,12.676079399771027,2.3978952727983707,0.8266499976219407,0.3053090633220603,0.566,ok
