ISO3,Country,country_role,year_month,year,month,storm_count,max_wind_knots,max_sshs,landfall_count,max_wind_score,storm_names,had_major_hurricane
PRI,Puerto Rico,tier1,2020-08,2020,8,1,45.0,0,1,0.2812,LAURA,0
PRI,Puerto Rico,tier1,2022-09,2022,9,1,75.0,1,1,0.4688,FIONA,0
SLV,El Salvador,tier1,2020-11,2020,11,1,35.0,0,1,0.2188,IOTA,0
SLV,El Salvador,tier1,2022-10,2022,10,1,35.0,0,1,0.2188,JULIA,0
TTO,Trinidad and Tobago,tier1,2020-07,2020,7,1,31.0,-1,1,0.1938,GONZALO,0
TTO,Trinidad and Tobago,tier1,2022-06,2022,6,1,35.0,-3,1,0.2188,BONNIE,0
VEN,Venezuela,pressure_input,2019-09,2019,9,1,35.0,0,0,0.2188,KAREN,0
VEN,Venezuela,pressure_input,2020-07,2020,7,1,35.0,0,1,0.2188,GONZALO,0
VEN,Venezuela,pressure_input,2022-06,2022,6,1,35.0,-3,1,0.2188,BONNIE,0
VEN,Venezuela,pressure_input,2022-10,2022,10,1,31.0,-1,1,0.1938,JULIA,0
VEN,Venezuela,pressure_input,2024-07,2024,7,1,115.0,4,0,0.7188,BERYL,1
