iso3,year,month,source_country,source_org,dest_org,sector,amount_usd,is_cerf,is_echo,country_role
COL,2019,3,Multilateral,Bloomberg,International Rescue Committee,Multi-sector,23746,False,False,pressure
COL,2019,3,Multilateral,Office for the Coordination of Humanitarian Affairs,Office for the Coordination of Humanitarian Affairs,Coordination and support services,17121,False,False,pressure
COL,2019,4,United States,"United States of America, Government of",World Food Programme,Multi-sector,15000000,False,False,pressure
COL,2019,4,Norway,"Norway, Government of",Norwegian People's Aid,Protection - Mine Action,3523194,False,False,pressure
COL,2019,4,United States,"United States of America, Government of",Norwegian Refugee Council,Multi-sector,1488582,False,False,pressure
COL,2019,4,Multilateral,Central Emergency Response Fund,United Nations Children's Fund,Water Sanitation Hygiene,1200000,True,False,pressure
COL,2019,4,Multilateral,European Commission's Humanitarian Aid and Civil Protection Department,Norwegian Refugee Council,Multi-sector,1173880,False,True,pressure
COL,2019,4,Austria,"Austria, Government of",United Nations High Commissioner for Refugees,Multi-sector,1129072,False,False,pressure
COL,2019,4,Multilateral,Central Emergency Response Fund,United Nations Children's Fund,Education,903477,True,False,pressure
COL,2019,4,United States,"United States of America, Government of",United Nations Children's Fund,Multi-sector,900000,False,False,pressure
COL,2019,4,Multilateral,Central Emergency Response Fund,World Health Organization,Health,887317,True,False,pressure
COL,2019,4,Multilateral,Central Emergency Response Fund,United Nations Office for Project Services,Protection - Mine Action,800131,True,False,pressure
COL,2019,4,Switzerland,"Switzerland, Government of",Norwegian Refugee Council,Multi-sector,768024,False,False,pressure
COL,2019,4,Multilateral,Central Emergency Response Fund,Food and Agriculture Organization of the United Nations,Food Security,758967,True,False,pressure
COL,2019,4,Multilateral,Central Emergency Response Fund,World Food Programme,Food Security,742038,True,False,pressure
COL,2019,4,Multilateral,Central Emergency Response Fund,United Nations High Commissioner for Refugees,Protection,699915,True,False,pressure
COL,2019,4,Multilateral,Central Emergency Response Fund,UN Women,Protection,600000,True,False,pressure
COL,2019,4,Sweden,"Sweden, Government of",United Nations High Commissioner for Refugees,Unearmarked,549995,False,False,pressure
COL,2019,4,Colombia,Mercy Corps,Mercy Corps,Multi-sector,523801,False,False,pressure
COL,2019,4,Multilateral,,Médecins du Monde,Health,517190,False,False,pressure
COL,2019,4,Multilateral,Central Emergency Response Fund,United Nations Population Fund,Protection,510000,True,False,pressure
COL,2019,4,"Korea, Republic of","Korea, Republic of, Government of",United Nations High Commissioner for Refugees,Multi-sector,500000,False,False,pressure
COL,2019,4,Multilateral,Central Emergency Response Fund,United Nations Population Fund,Health,490000,True,False,pressure
COL,2019,4,Multilateral,Central Emergency Response Fund,United Nations Children's Fund,Health,400000,True,False,pressure
COL,2019,4,Norway,"Norway, Government of",Norwegian Red Cross,Health,363489,False,False,pressure
COL,2019,4,New Zealand,"New Zealand, Government of",United Nations High Commissioner for Refugees,Unearmarked,341530,False,False,pressure
COL,2019,4,Norway,"Norway, Government of",Norwegian Refugee Council,Multi-sector,262549,False,False,pressure
COL,2019,4,Iceland,"Iceland, Government of",United Nations High Commissioner for Refugees,Unearmarked,249314,False,False,pressure
COL,2019,4,Sweden,"Sweden, Government of",Norwegian Refugee Council,Multi-sector,204953,False,False,pressure
COL,2019,4,Multilateral,Stichting Vluchteling,International Rescue Committee,Multi-sector,151819,False,False,pressure
COL,2019,4,Multilateral,Novo Nordisk,Danish Refugee Council,Multi-sector,112585,False,False,pressure
COL,2019,4,Germany,"Germany, Government of",Caritas Germany (DCV),Multi-sector,109357,False,False,pressure
COL,2019,4,Multilateral,,International Rescue Committee,Multi-sector,72360,False,False,pressure
COL,2019,4,Norway,"Norway, Government of",Norwegian Refugee Council,Unearmarked,69037,False,False,pressure
COL,2019,4,Multilateral,Bloomberg,International Rescue Committee,Multi-sector,21529,False,False,pressure
COL,2019,4,Private,Private (individuals & organizations),United Nations High Commissioner for Refugees,Unearmarked,17764,False,False,pressure
COL,2019,4,Multilateral,Ford Foundation,Norwegian Refugee Council,Multi-sector,15641,False,False,pressure
COL,2019,4,Multilateral,World Vision International,World Vision International,Multi-sector,2,False,False,pressure
COL,2019,5,United States,"United States of America, Government of",International Organization for Migration,Multi-sector,7524327,False,False,pressure
COL,2019,5,Norway,"Norway, Government of",Norwegian Refugee Council,Unearmarked,912776,False,False,pressure
COL,2019,5,Norway,"Norway, Government of",Campaña Colombiana Contra Minas,Protection - Mine Action,574977,False,False,pressure
COL,2019,5,Norway,"Norway, Government of",United Nations High Commissioner for Refugees,Unearmarked,574976,False,False,pressure
COL,2019,5,United States,"United States of America, Government of",World Vision International,Multi-sector,342231,False,False,pressure
COL,2019,5,Multilateral,United Nations High Commissioner for Refugees,Norwegian Refugee Council,Multi-sector,243038,False,False,pressure
COL,2019,5,Switzerland,"Switzerland, Government of",Handicap International - Humanity & Inclusion,Protection - Mine Action,76044,False,False,pressure
COL,2019,5,Private,Private (individuals & organizations),Norwegian Refugee Council,Multi-sector,52789,False,False,pressure
COL,2019,5,Multilateral,World Vision Korea,World Vision International,Multi-sector,30000,False,False,pressure
COL,2019,5,Multilateral,,World Vision International,Multi-sector,6000,False,False,pressure
COL,2019,6,Multilateral,,Save the Children,Multi-sector,6262112,False,False,pressure
COL,2019,6,Germany,"Germany, Government of",United Nations High Commissioner for Refugees,Unearmarked,4449388,False,False,pressure
COL,2019,6,United States,"United States of America, Government of",United Nations High Commissioner for Refugees,Multi-sector,3600001,False,False,pressure
COL,2019,6,United States,"United States of America, Government of",United Nations Children's Fund,Multi-sector,2934706,False,False,pressure
COL,2019,6,Multilateral,European Commission's Humanitarian Aid and Civil Protection Department,United Nations High Commissioner for Refugees,Multi-sector,2927400,False,True,pressure
COL,2019,6,Canada,"Canada, Government of",HALO Trust,Protection - Mine Action,1654135,False,False,pressure
COL,2019,6,United States,"United States of America, Government of",HALO Trust,Protection - Mine Action,1474881,False,False,pressure
COL,2019,6,Netherlands,"Netherlands, Government of",International Organization for Migration,Multi-sector,1453684,False,False,pressure
COL,2019,6,Ireland,"Ireland, Government of",United Nations High Commissioner for Refugees,Unearmarked,1122334,False,False,pressure
COL,2019,6,Canada,"Canada, Government of",World Food Programme,Food Security,1117735,False,False,pressure
COL,2019,6,Multilateral,European Commission,Danish Refugee Council,Multi-sector,1082548,False,False,pressure
COL,2019,6,Multilateral,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),United Nations High Commissioner for Refugees,Multi-sector,1000966,False,False,pressure
COL,2019,6,Multilateral,European Commission's Humanitarian Aid and Civil Protection Department,United Nations High Commissioner for Refugees,Protection,1000965,False,True,pressure
COL,2019,6,Canada,"Canada, Government of",Action Contre la Faim - Action Against Hunger International,Multi-sector,628437,False,False,pressure
COL,2019,6,"Korea, Republic of","Korea, Republic of, Government of",United Nations High Commissioner for Refugees,Unearmarked,529942,False,False,pressure
COL,2019,6,Multilateral,United Way International,International Organization for Migration,Multi-sector,500754,False,False,pressure
COL,2019,6,Canada,"Canada, Government of",World Health Organization,Health,379939,False,False,pressure
COL,2019,6,United States,Centers for Disease Control and Prevention,International Organization for Migration,Health,350000,False,False,pressure
COL,2019,6,Multilateral,,Colombian Red Cross Society,Multi-sector,337968,False,False,pressure
COL,2019,6,United States,"United States of America, Government of",World Vision International,Multi-sector,333382,False,False,pressure
COL,2019,6,Multilateral,United Nations Children's Fund,United Nations Children's Fund,Multi-sector,314735,False,False,pressure
COL,2019,6,United Kingdom,"United Kingdom, Government of",Save the Children,Multi-sector,314236,False,False,pressure
COL,2019,6,Multilateral,Medicor Foundation,Terre des Hommes International,Multi-sector,300000,False,False,pressure
COL,2019,6,United States,"United States of America, Government of",Campaña Colombiana Contra Minas,Protection - Mine Action,300000,False,False,pressure
COL,2019,6,Norway,"Norway, Government of",Handicap International - Humanity & Inclusion,Unearmarked,293358,False,False,pressure
COL,2019,6,Multilateral,UNICEF National Committee/Ireland,United Nations Children's Fund,Multi-sector,260277,False,False,pressure
COL,2019,6,Private,Private (individuals & organizations),ZOA,Water Sanitation Hygiene,250774,False,False,pressure
COL,2019,6,Colombia,"Colombia, Government of",International Organization for Migration,Multi-sector,231768,False,False,pressure
COL,2019,6,Private,Private (individuals & organizations),United Nations Children's Fund,Multi-sector,222330,False,False,pressure
COL,2019,6,Norway,"Norway, Government of",Handicap International - Humanity & Inclusion,Protection,176015,False,False,pressure
COL,2019,6,Multilateral,Colombia Post-Conflict UN MPTF,United Nations High Commissioner for Refugees,Unearmarked,163602,False,False,pressure
COL,2019,6,Multilateral,,World Vision International,Multi-sector,124014,False,False,pressure
COL,2019,6,Multilateral,World Vision Canada,World Vision International,Multi-sector,122500,False,False,pressure
COL,2019,6,Multilateral,Frantz Hoffman Foundation,Danish Refugee Council,Multi-sector,76150,False,False,pressure
