iso3,year,month,funding_usd,ocha_data_flag
DOM,2019,2019-09-01,38045.08,ocha_reported
DOM,2019,2019-10-01,38045.08,ocha_reported
DOM,2019,2019-11-01,38045.08,ocha_reported
DOM,2019,2019-12-01,38045.08,ocha_reported
DOM,2020,2020-01-01,1184138.0,ocha_reported
DOM,2020,2020-02-01,1184138.0,ocha_reported
DOM,2020,2020-03-01,1184138.0,ocha_reported
DOM,2020,2020-04-01,1184138.0,ocha_reported
DOM,2020,2020-05-01,1184138.0,ocha_reported
DOM,2020,2020-06-01,1184138.0,ocha_reported
DOM,2020,2020-07-01,1184138.0,ocha_reported
DOM,2020,2020-08-01,1184138.0,ocha_reported
DOM,2020,2020-09-01,1184138.0,ocha_reported
DOM,2020,2020-10-01,1184138.0,ocha_reported
DOM,2020,2020-11-01,1184138.0,ocha_reported
DOM,2020,2020-12-01,1184138.0,ocha_reported
DOM,2021,2021-01-01,545737.67,ocha_reported
DOM,2021,2021-02-01,545737.67,ocha_reported
DOM,2021,2021-03-01,545737.67,ocha_reported
DOM,2021,2021-04-01,545737.67,ocha_reported
DOM,2021,2021-05-01,545737.67,ocha_reported
DOM,2021,2021-06-01,545737.67,ocha_reported
DOM,2021,2021-07-01,545737.67,ocha_reported
DOM,2021,2021-08-01,545737.67,ocha_reported
DOM,2021,2021-09-01,545737.67,ocha_reported
DOM,2021,2021-10-01,545737.67,ocha_reported
DOM,2021,2021-11-01,545737.67,ocha_reported
DOM,2021,2021-12-01,545737.67,ocha_reported
DOM,2022,2022-01-01,750499.25,ocha_reported
DOM,2022,2022-02-01,750499.25,ocha_reported
DOM,2022,2022-03-01,750499.25,ocha_reported
DOM,2022,2022-04-01,750499.25,ocha_reported
DOM,2022,2022-05-01,750499.25,ocha_reported
DOM,2022,2022-06-01,750499.25,ocha_reported
DOM,2022,2022-07-01,750499.25,ocha_reported
DOM,2022,2022-08-01,750499.25,ocha_reported
DOM,2022,2022-09-01,750499.25,ocha_reported
DOM,2022,2022-10-01,750499.25,ocha_reported
DOM,2022,2022-11-01,750499.25,ocha_reported
DOM,2022,2022-12-01,750499.25,ocha_reported
DOM,2023,2023-01-01,1115702.25,ocha_reported
DOM,2023,2023-02-01,1115702.25,ocha_reported
DOM,2023,2023-03-01,1115702.25,ocha_reported
