Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2020,"Costa Rica","Bolivia (Plurinational State of)",CRI,BOL,0,5,0,0,0,0,0
2020,"Costa Rica",Brazil,CRI,BRA,0,13,0,0,0,0,0
2020,"Costa Rica",China,CRI,CHN,0,205,0,0,0,0,0
2020,"Costa Rica",Chile,CRI,CHL,0,16,0,0,0,0,0
2020,"Costa Rica",Cameroon,CRI,CMR,0,22,0,0,0,0,0
2020,"Costa Rica",Congo,CRI,COG,0,57,0,0,0,0,0
2020,"Costa Rica","Dem. Rep. of the Congo",CRI,COD,12,42,0,0,0,0,0
2020,"Costa Rica",Colombia,CRI,COL,2322,1042,0,0,0,0,0
2020,"Costa Rica",Cuba,CRI,CUB,417,3206,0,0,0,0,0
2020,"Costa Rica","Dominican Rep.",CRI,DOM,0,71,0,0,0,0,0
2020,"Costa Rica",Ecuador,CRI,ECU,0,16,0,0,0,0,0
2020,"Costa Rica",Eritrea,CRI,ERI,0,7,0,0,0,0,0
2020,"Costa Rica",Ethiopia,CRI,ETH,5,0,0,0,0,0,0
2020,"Costa Rica",Gambia,CRI,GMB,0,5,0,0,0,0,0
2020,"Costa Rica",Germany,CRI,DEU,0,5,0,0,0,0,0
2020,"Costa Rica",Ghana,CRI,GHA,0,57,0,0,0,0,0
2020,"Costa Rica",Guatemala,CRI,GTM,25,36,0,0,0,0,0
2020,"Costa Rica",Haiti,CRI,HTI,12,128,0,0,0,0,0
2020,"Costa Rica",Honduras,CRI,HND,205,702,0,0,0,0,0
2020,"Costa Rica","Cote d'Ivoire",CRI,CIV,0,5,0,0,0,0,0
2020,"Costa Rica",India,CRI,IND,0,5,0,0,0,0,0
2020,"Costa Rica",Indonesia,CRI,IDN,5,0,0,0,0,0,0
2020,"Costa Rica","Iran (Islamic Rep. of)",CRI,IRN,5,0,0,0,0,0,0
2020,"Costa Rica",Iraq,CRI,IRQ,5,0,0,0,0,0,0
2020,"Costa Rica",Israel,CRI,ISR,0,5,0,0,0,0,0
2020,"Costa Rica",Italy,CRI,ITA,0,5,0,0,0,0,0
2020,"Costa Rica",Jamaica,CRI,JAM,0,13,0,0,0,0,0
2020,"Costa Rica",Lebanon,CRI,LBN,0,5,0,0,0,0,0
2020,"Costa Rica",Mexico,CRI,MEX,13,11,0,0,0,0,0
2020,"Costa Rica",Nepal,CRI,NPL,0,102,0,0,0,0,0
2020,"Costa Rica",Niger,CRI,NER,0,5,0,0,0,0,0
2020,"Costa Rica",Nicaragua,CRI,NIC,3811,38700,0,0,0,0,0
2020,"Costa Rica",Nigeria,CRI,NGA,17,0,0,0,0,0,0
2020,"Costa Rica",Pakistan,CRI,PAK,5,11,0,0,0,0,0
2020,"Costa Rica",Panama,CRI,PAN,5,17,0,0,0,0,0
2020,"Costa Rica",Peru,CRI,PER,13,7,0,0,0,0,0
2020,"Costa Rica","Russian Federation",CRI,RUS,27,0,0,0,0,0,0
2020,"Costa Rica","El Salvador",CRI,SLV,1384,141,0,0,0,0,0
2020,"Costa Rica",Senegal,CRI,SEN,0,5,0,0,0,0,0
2020,"Costa Rica",Somalia,CRI,SOM,7,7,0,0,0,0,0
2020,"Costa Rica",Spain,CRI,ESP,0,6,0,0,0,0,0
2020,"Costa Rica",Stateless,CRI,XXA,0,0,0,0,199,0,0
2020,"Costa Rica","Syrian Arab Rep.",CRI,SYR,5,21,0,0,0,0,0
2020,"Costa Rica","Unknown ",CRI,UNK,0,39500,0,0,0,0,0
2020,"Costa Rica",Ukraine,CRI,UKR,13,0,0,0,0,0,0
2020,"Costa Rica","United States of America",CRI,USA,5,30,0,0,0,0,0
2020,"Costa Rica","Venezuela (Bolivarian Republic of)",CRI,VEN,1266,5422,0,22401,0,0,0
2020,"Costa Rica",Zimbabwe,CRI,ZWE,0,5,0,0,0,0,0
2021,"Costa Rica",Angola,CRI,AGO,0,62,0,0,0,0,0
2021,"Costa Rica",Argentina,CRI,ARG,0,37,0,0,0,0,0
2021,"Costa Rica",Burundi,CRI,BDI,9,0,0,0,0,0,0
2021,"Costa Rica",Bangladesh,CRI,BGD,0,16,0,0,0,0,0
2021,"Costa Rica","Burkina Faso",CRI,BFA,0,5,0,0,0,0,0
2021,"Costa Rica",Belarus,CRI,BLR,0,5,0,0,0,0,0
2021,"Costa Rica","Bolivia (Plurinational State of)",CRI,BOL,0,13,0,0,0,0,0
2021,"Costa Rica",Brazil,CRI,BRA,0,165,0,0,0,0,0
2021,"Costa Rica",China,CRI,CHN,0,309,0,0,0,0,0
2021,"Costa Rica",Chile,CRI,CHL,0,55,0,0,0,0,0
2021,"Costa Rica",Cameroon,CRI,CMR,0,22,0,0,0,0,0
2021,"Costa Rica",Congo,CRI,COG,0,57,0,0,0,0,0
2021,"Costa Rica","Dem. Rep. of the Congo",CRI,COD,12,65,0,0,0,0,0
