Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2024,Colombia,Colombia,COL,COL,0,0,7031498,0,0,807700,43
2024,"Costa Rica",Colombia,CRI,COL,7190,4490,0,0,0,0,0
2024,"Curacao ",Colombia,CUW,COL,0,0,0,0,0,0,1278
2024,Cyprus,Colombia,CYP,COL,0,5,0,0,0,0,0
2024,Czechia,Colombia,CZE,COL,5,5,0,0,0,0,0
2024,Denmark,Colombia,DNK,COL,221,43,0,0,0,0,0
2024,"Dominican Rep.",Colombia,DOM,COL,0,20,0,0,0,0,0
2024,Ecuador,Colombia,ECU,COL,19710,3626,0,0,0,0,0
2024,Finland,Colombia,FIN,COL,23,32,0,0,0,0,0
2024,France,Colombia,FRA,COL,2218,693,0,0,0,0,0
2024,"United Kingdom of Great Britain and Northern Ireland",Colombia,GBR,COL,117,2006,0,0,0,0,0
2024,Germany,Colombia,DEU,COL,198,6237,0,0,0,0,0
2024,Greece,Colombia,GRC,COL,0,8,0,0,0,0,0
2024,Guatemala,Colombia,GTM,COL,13,164,0,0,0,0,9396
2024,Honduras,Colombia,HND,COL,5,17,0,0,0,0,16665
2024,Croatia,Colombia,HRV,COL,0,7,0,0,0,0,0
2024,Iceland,Colombia,ISL,COL,20,40,0,0,0,0,0
2024,Ireland,Colombia,IRL,COL,8,11,0,0,0,0,0
2024,Israel,Colombia,ISR,COL,0,282,0,0,0,0,0
2024,Italy,Colombia,ITA,COL,1516,4725,0,0,0,0,0
2024,Luxembourg,Colombia,LUX,COL,0,190,0,0,0,0,0
2024,Mexico,Colombia,MEX,COL,710,5131,0,0,0,0,4577
2024,Malta,Colombia,MLT,COL,0,60,0,0,0,0,0
2024,"Netherlands (Kingdom of the)",Colombia,NLD,COL,378,1055,0,0,0,0,0
2024,Norway,Colombia,NOR,COL,165,278,0,0,0,0,0
2024,"New Zealand",Colombia,NZL,COL,37,41,0,0,0,0,0
2024,Panama,Colombia,PAN,COL,1622,780,0,0,0,0,0
2024,Paraguay,Colombia,PRY,COL,22,137,0,0,0,0,0
2024,Peru,Colombia,PER,COL,739,4894,0,0,0,0,7861
2024,Poland,Colombia,POL,COL,7,24,0,0,0,0,0
2024,Portugal,Colombia,PRT,COL,13,335,0,0,0,0,0
2024,Romania,Colombia,ROU,COL,0,5,0,0,0,0,0
2024,"El Salvador",Colombia,SLV,COL,16,14,0,0,0,0,0
2024,Spain,Colombia,ESP,COL,4063,92460,0,0,0,0,0
2024,Suriname,Colombia,SUR,COL,0,5,0,0,0,0,0
2024,Slovakia,Colombia,SVK,COL,0,5,0,0,0,0,0
2024,Slovenia,Colombia,SVN,COL,0,5,0,0,0,0,0
2024,Sweden,Colombia,SWE,COL,278,117,0,0,0,0,0
2024,Switzerland,Colombia,CHE,COL,352,306,0,0,0,0,0
2024,"Sint Maarten (Dutch part)",Colombia,SXM,COL,7,15,0,0,0,0,0
2024,"Trinidad and Tobago",Colombia,TTO,COL,8,62,0,0,0,0,0
2024,Uruguay,Colombia,URY,COL,175,292,0,0,0,0,0
2024,"United States of America",Colombia,USA,COL,4842,250260,0,0,0,0,0
2024,"Venezuela (Bolivarian Republic of)",Colombia,VEN,COL,19173,1572,0,0,0,0,0
2023,Argentina,Colombia,ARG,COL,564,188,0,0,0,0,0
2023,Australia,Colombia,AUS,COL,39,423,0,0,0,0,0
2023,Austria,Colombia,AUT,COL,8,21,0,0,0,0,0
2023,Belgium,Colombia,BEL,COL,182,955,0,0,0,0,0
2023,"Bolivia (Plurinational State of)",Colombia,BOL,COL,200,36,0,0,0,0,0
2023,Brazil,Colombia,BRA,COL,270,1871,0,0,0,0,0
2023,Canada,Colombia,CAN,COL,7002,10353,0,0,0,0,0
2023,Chile,Colombia,CHL,COL,1235,2902,0,0,0,0,0
2023,Colombia,Colombia,COL,COL,0,0,6918373,0,0,885300,516000
2023,"Costa Rica",Colombia,CRI,COL,2292,2998,0,0,0,0,0
