iso3,flow_id,source_org,source_country,dest_org,dest_country,description,sector,amount_usd,funding_status,boundary,dest_usage_year,flow_date
SLV,278232,"Spain, Government of",Spain,United Nations High Commissioner for Refugees,El Salvador,"Consolidate protection and immediate response environments for people affected by forced displacement and gender-based violence in El Salvador and Guatemala within a framework of regional cooperation.
Shelter & protection & coordination",,24524,commitment,incoming,2022,2022-11-25
SLV,280806,"Spain, Government of",Spain,Médicos del Mundo Spain,El Salvador,"El proyecto consiste en la mejora en el acceso de servicios de salud de los adolescentes internados en los Centros de Integración Social (CIS) de los municipios de Tonacatepeque, Ilopango y Ilobasco detenidos en el marco del estado de excepción en El Salvador",Protection - Child Protection,53435,commitment,incoming,2022,2023-06-01
SLV,281176,European Commission's Humanitarian Aid and Civil Protection Department,,United Nations High Commissioner for Refugees,Mexico,"Enhancing protection of persons of concern in Mexico, Guatemala, El Salvador, Honduras and Costa Rica and Panama through Humanitarian/shelter assistance, protection assistance, cash-based interventions and improved coordination among actors.",,0,commitment,incoming,2022,2022-06-10
SLV,281177,European Commission's Humanitarian Aid and Civil Protection Department,,United Nations High Commissioner for Refugees,Guatemala,"Enhancing protection of persons of concern in Mexico, Guatemala, El Salvador, Honduras and Costa Rica and Panama through Humanitarian/shelter assistance, protection assistance, cash-based interventions and improved coordination among actors.",,0,commitment,incoming,2022,2022-06-10
SLV,284391,"Spain, Government of",Spain,Asamblea De Cooperacion Por La Paz,El Salvador,"El proyecto ""Fortalecer la atención y protección integral a personas LGTBI+ en situación de vulnerabilidad por violencia, desplazamiento forzado y procesos de movilidad humana en El Salvador"" tiene como objetivo: Fortalecer la atención y protección integr",Protection,75107,commitment,incoming,2022,2023-05-30
SLV,285443,European Commission's Humanitarian Aid and Civil Protection Department,,United Nations High Commissioner for Refugees,Panama,"Enhancing protection of persons of concern in Mexico, Guatemala, El Salvador, Honduras and Costa Rica and Panama through Humanitarian/shelter assistance, protection assistance, cash-based interventions and improved coordination among actors.",Protection,383065,commitment,incoming,2022,2022-06-10
SLV,285445,European Commission's Humanitarian Aid and Civil Protection Department,,United Nations High Commissioner for Refugees,Mexico,"Enhancing protection of persons of concern in Mexico, Guatemala, El Salvador, Honduras and Costa Rica and Panama through Humanitarian/shelter assistance, protection assistance, cash-based interventions and improved coordination among actors.",Emergency Shelter and NFI,288978,commitment,incoming,2022,2022-06-10
SLV,285447,European Commission's Humanitarian Aid and Civil Protection Department,,United Nations High Commissioner for Refugees,Mexico,"Enhancing protection of persons of concern in Mexico, Guatemala, El Salvador, Honduras and Costa Rica and Panama through Humanitarian/shelter assistance, protection assistance, cash-based interventions and improved coordination among actors.",Emergency Shelter and NFI,382957,commitment,incoming,2022,2022-06-10
SLV,285448,European Commission's Humanitarian Aid and Civil Protection Department,,United Nations High Commissioner for Refugees,El Salvador,"Enhancing protection of persons of concern in Mexico, Guatemala, El Salvador, Honduras and Costa Rica and Panama through Humanitarian/shelter assistance, protection assistance, cash-based interventions and improved coordination among actors.",,275819,paid,incoming,2022,2022-06-10
SLV,300483,"Switzerland, Government of",Switzerland,World Food Programme,El Salvador,Emergency food assistance,Food Security,598802,paid,incoming,2022,2024-01-12
